REG_ANS;VL_SALDO_FINAL;ano;trimestre
330809;269111618.41;2025;1
330892;54352371.82;2025;1
331104;10158863.79;2025;1
331317;715667758.02;2025;1
331341;472414371.29;2025;1
331651;209585336.96;2025;1
331872;1462126449.89;2025;1
331988;1285654876.31;2025;1
333051;558909602.99;2025;1
333239;2811423.07;2025;1
333662;444465093.24;2025;1
333689;881249626.01;2025;1
333808;114098589.97;2025;1
333867;40177429.6;2025;1
333875;104672123.76;2025;1
334154;210668856.2;2025;1
334243;14584854.94;2025;1
334511;12491955.18;2025;1
334561;1582535214.52;2025;1
334847;53647114.17;2025;1
335100;2992168140.78;2025;1
335215;329116200.1;2025;1
335258;53932677.51;2025;1
335479;912604677.92;2025;1
335517;217622257.68;2025;1
335541;192911661.72;2025;1
335592;2670136465.32;2025;1
335614;3683561424.4;2025;1
335657;57289735.37;2025;1
335690;6713397663.93;2025;1
335754;221832306.43;2025;1
335789;72096824.23;2025;1
336017;15899384.46;2025;1
336106;845768048.79;2025;1
336467;44516213.61;2025;1
336831;271904342.67;2025;1
336858;2168608280.87;2025;1
337188;678980440.32;2025;1
337374;698040488.1;2025;1
337498;173806658.89;2025;1
337561;41158521.33;2025;1
337668;1360154183.92;2025;1
337871;455846861.6;2025;1
338346;154867964.44;2025;1
338648;502653706.46;2025;1
339458;13679762.14;2025;1
339679;19173205809.07;2025;1
339954;1610676856.88;2025;1
340162;19327744.82;2025;1
340251;183399207.76;2025;1
340782;1565506344.36;2025;1
340952;896161340.01;2025;1
341819;2496048.76;2025;1
341941;48388526.9;2025;1
342033;1851863983.2;2025;1
342084;3230211827.74;2025;1
342131;97027067.51;2025;1
342157;31195219.79;2025;1
342203;46445428.1;2025;1
342343;155516998.1;2025;1
342386;129178565.53;2025;1
342556;470235149.24;2025;1
342611;334717868.25;2025;1
342807;407179355.71;2025;1
342955;10557971.9;2025;1
343056;10724755.62;2025;1
343064;193334543.1;2025;1
343129;71962935.25;2025;1
343153;31914073.02;2025;1
343269;2314248783.68;2025;1
343331;201969053.32;2025;1
343404;5439876.03;2025;1
343463;168421568.79;2025;1
343676;146456278.2;2025;1
343684;145569730.45;2025;1
343722;36665844.55;2025;1
343731;2617966981.67;2025;1
343765;65326728.67;2025;1
343889;13116434990.68;2025;1
344141;15177726.81;2025;1
344184;9691805.99;2025;1
344362;426126193.78;2025;1
344397;977938404.93;2025;1
344451;45587858.38;2025;1
344729;406148417.35;2025;1
344788;37306666.15;2025;1
344800;666757534.9;2025;1
344885;3698788385.72;2025;1
344915;12677896.88;2025;1
345091;131454105.32;2025;1
345318;46644262.74;2025;1
345458;164151639.2;2025;1
345598;514665606.89;2025;1
345709;314570100.05;2025;1
345741;13876323.34;2025;1
345776;127064075.46;2025;1
346004;40834958.19;2025;1
346209;292151091.86;2025;1
346276;620701337.51;2025;1
346659;17945292316.69;2025;1
346870;71379623.16;2025;1
346926;3250063923.8;2025;1
346951;139641337.89;2025;1
347108;131727915.56;2025;1
347507;521021938.58;2025;1
347604;21246325.9;2025;1
347655;228973569.0;2025;1
347736;102024551.3;2025;1
347795;15548767.82;2025;1
347825;27559873.67;2025;1
348082;566578235.19;2025;1
348180;1039820097.56;2025;1
348244;258038770.33;2025;1
348261;127844594.26;2025;1
348295;2100230277.89;2025;1
348520;2270836056.82;2025;1
348830;513565699.97;2025;1
349534;295839382.3;2025;1
349682;689959846.57;2025;1
349712;847328435.19;2025;1
350141;1019301202.94;2025;1
350249;2036306257.89;2025;1
350346;68161666.97;2025;1
350371;575418911.71;2025;1
350494;173176859.08;2025;1
350648;80492578.25;2025;1
350699;227438749.62;2025;1
350770;10935419.76;2025;1
351202;1818525210.24;2025;1
351270;80295712.92;2025;1
351407;312412882.67;2025;1
351776;83966651.14;2025;1
351792;8941160.06;2025;1
352179;213080700.01;2025;1
352314;230343268.47;2025;1
352331;2028092105.4;2025;1
352501;8324440315.32;2025;1
352519;56737869.74;2025;1
352543;429425476.3;2025;1
352586;224431687.55;2025;1
352683;596960089.08;2025;1
353027;146342569.9;2025;1
353060;603207838.84;2025;1
353264;50575923.27;2025;1
353353;1211365584.22;2025;1
353663;949970595.2;2025;1
353698;48052231.03;2025;1
353876;95768147.17;2025;1
354031;1023040510.53;2025;1
354066;916336015.68;2025;1
354279;197010340.29;2025;1
354295;570976371.42;2025;1
354325;195856775.07;2025;1
354511;333717736.01;2025;1
354562;366220080.66;2025;1
354619;72189175.09;2025;1
354627;14365090812.66;2025;1
354678;46739530.16;2025;1
354783;736311310.6;2025;1
354996;92094868.06;2025;1
355097;1775805798.68;2025;1
355151;750720344.48;2025;1
355577;178435775.36;2025;1
355593;127966959.49;2025;1
355691;1575797882.06;2025;1
355721;1886276270.0;2025;1
356123;342420534.72;2025;1
356417;882993090.86;2025;1
356476;298939463.15;2025;1
356581;154791676.75;2025;1
357022;201103476.59;2025;1
357138;360240987.82;2025;1
357260;443181695.1;2025;1
357391;4407555489.66;2025;1
357511;2336097106.84;2025;1
357669;45838157.77;2025;1
357715;99024958.81;2025;1
358053;155274516.81;2025;1
358088;515003194.96;2025;1
358096;228008410.64;2025;1
358282;114218667.22;2025;1
358339;17915133.38;2025;1
358436;40253016.92;2025;1
358754;127905448.47;2025;1
359017;22307114934.68;2025;1
359033;97378779.77;2025;1
359122;212375766.09;2025;1
359289;554583548.63;2025;1
359661;5013532151.78;2025;1
359777;592127206.69;2025;1
360244;613652397.51;2025;1
360414;148975916.07;2025;1
360449;2995109285.59;2025;1
360783;22728567.18;2025;1
361011;1277335342.61;2025;1
361461;193431768.13;2025;1
